,epochs,batch_size,learning_rate,training_time,val_loss,val_categorical,val_precision,val_recall,val_auc
0,3,16,0.1,1126.2558422088623,5.802626609802246,0.08990476280450821,0.13010446727275848,0.052190475165843964,0.7209022045135498
1,3,32,0.1,953.706057548523,1.7836034297943115,0.5836190581321716,0.797484278678894,0.48304760456085205,0.952980637550354
2,3,64,0.1,885.5062828063965,1.1949474811553955,0.7093333601951599,0.8453038930892944,0.6411428451538086,0.9708942770957947
3,5,16,0.1,1850.0606789588928,42001097555968.0,0.6224762201309204,0.7836382985115051,0.5546666383743286,0.9453979134559631
4,5,32,0.1,1567.0031402111053,806462144.0,0.7302857041358948,0.8315445780754089,0.678857147693634,0.9659894704818726
5,5,64,0.1,1486.3861536979675,0.7706424593925476,0.8327618837356567,0.8868721127510071,0.8003809452056885,0.9768324494361877
6,7,16,0.1,2528.85200047493,1.076521873474121,0.7874285578727722,0.8680494427680969,0.7493333220481873,0.9653775691986084
7,7,32,0.1,2156.9008469581604,0.6315042972564697,0.8582857251167297,0.9042685627937317,0.8312380909919739,0.9797905683517456
8,7,64,0.1,2025.400547027588,0.6583375930786133,0.8510476350784302,0.8910126090049744,0.8346666693687439,0.9803921580314636
9,3,16,0.01,1099.5297150611877,1.4976871013641357,0.6796190738677979,0.8366047739982605,0.600761890411377,0.9574141502380371
10,3,32,0.01,1006.3046579360962,0.725605309009552,0.8278095126152039,0.9215155839920044,0.7782857418060303,0.982847273349762
11,3,64,0.01,881.9531042575836,0.5735393166542053,0.8628571629524231,0.9155573844909668,0.8384761810302734,0.9837995767593384
12,5,16,0.01,1807.3450622558594,0.7859035730361938,0.8342857360839844,0.9032673835754395,0.8003809452056885,0.9773584008216858
13,5,32,0.01,1559.7572157382965,0.4799663722515106,0.8967618942260742,0.9265175461769104,0.883809506893158,0.9842835068702698
14,5,64,0.01,1453.1141216754913,0.4036860167980194,0.9146666526794434,0.9319433569908142,0.9024761915206909,0.9875492453575134
15,7,16,0.01,2547.100095510483,0.6618255972862244,0.8697142601013184,0.9005172848701477,0.8620952367782593,0.9789144992828369
16,7,32,0.01,2161.7080664634705,0.3808722198009491,0.9302856922149658,0.9480874538421631,0.9253333210945129,0.9871881604194641
17,7,64,0.01,2040.160189151764,0.3372674286365509,0.9348571300506592,0.9491064548492432,0.9306666851043701,0.9892963767051697
18,3,16,0.001,1139.804426908493,0.235051691532135,0.9379047751426697,0.9555643200874329,0.9257143139839172,0.9957695007324219
19,3,32,0.001,966.4022536277771,0.16410823166370392,0.9657142758369446,0.9729834198951721,0.9603809714317322,0.9950318336486816
20,3,64,0.001,894.573472738266,0.15010647475719452,0.9702857136726379,0.9750575423240662,0.9679999947547913,0.9950360655784607
21,5,16,0.001,1868.7600719928741,0.22279570996761322,0.9569523930549622,0.9638322591781616,0.954285740852356,0.9933138489723206
22,5,32,0.001,1568.1314086914062,0.15941672027111053,0.9691428542137146,0.9746738076210022,0.9676190614700317,0.9952260255813599
23,5,64,0.001,1456.570449590683,0.1691579520702362,0.973714292049408,0.974818766117096,0.9733333587646484,0.9937027096748352
24,7,16,0.001,2606.721735239029,0.26172250509262085,0.9577142596244812,0.9631760716438293,0.9565714001655579,0.9921722412109375
25,7,32,0.001,2167.769791841507,0.19829431176185608,0.9702857136726379,0.9732313752174377,0.9695237874984741,0.9935121536254883
26,7,64,0.001,2001.1651673316956,0.1543094366788864,0.9794285893440247,0.9827916026115417,0.9790475964546204,0.9948471188545227
