,epochs,batch_size,learning_rate,training_time,val_loss,val_categorical,val_precision,val_recall,val_auc
0,3,16,0.1,1132.4916710853577,4.819411277770996,0.12342856824398041,0.31807780265808105,0.05295238271355629,0.7781949043273926
1,3,32,0.1,952.302339553833,2.772007703781128,0.39047619700431824,0.728199303150177,0.24495238065719604,0.9202396869659424
2,3,64,0.1,884.7138032913208,1.833182454109192,0.5874285697937012,0.7664493322372437,0.4925714433193207,0.9458534121513367
3,5,16,0.1,1851.5810327529907,4.819643020629883,0.4449523687362671,0.514090895652771,0.4308571517467499,0.83143550157547
4,5,32,0.1,1621.7186625003815,1.32492196559906,0.6845714449882507,0.840208888053894,0.6129523515701294,0.9638159871101379
5,5,64,0.1,1448.1211643218994,33554556928.0,0.7680000066757202,0.8747672438621521,0.7158095240592957,0.976336658000946
6,7,16,0.1,2528.7230751514435,2.2832255363464355,0.6563809514045715,0.7433468699455261,0.6278095245361328,0.9248065948486328
7,7,32,0.1,2155.1323914527893,0.8321688175201416,0.8121904730796814,0.8783610463142395,0.7839999794960022,0.9746630787849426
8,7,64,0.1,2002.3906877040863,0.6469184160232544,0.8529523611068726,0.8991354703903198,0.8320000171661377,0.9813114404678345
9,3,16,0.01,1127.9683547019958,1.1896660327911377,0.7230476140975952,0.8687022924423218,0.6502857208251953,0.9687729477882385
10,3,32,0.01,958.4535005092621,0.6180688142776489,0.852571427822113,0.9055019021034241,0.8213333487510681,0.9847044348716736
11,3,64,0.01,894.4012024402618,0.47373196482658386,0.8807619214057922,0.9261992573738098,0.8605714440345764,0.9878473281860352
12,5,16,0.01,1847.8833193778992,0.6457067728042603,0.8601904511451721,0.9168755412101746,0.8361904621124268,0.97882080078125
13,5,32,0.01,1554.9096879959106,0.4627256393432617,0.8967618942260742,0.9285998940467834,0.8868571519851685,0.9856125712394714
14,5,64,0.01,1449.1499269008636,0.38287365436553955,0.9165714383125305,0.9391440749168396,0.9112380743026733,0.9871747493743896
15,7,16,0.01,2592.9029598236084,0.5443097352981567,0.890666663646698,0.9230462312698364,0.8819047808647156,0.9816015362739563
16,7,32,0.01,2181.545680999756,0.38260510563850403,0.9200000166893005,0.9396551847457886,0.91352379322052,0.9869937896728516
17,7,64,0.01,2010.2092900276184,0.3253500461578369,0.9398095011711121,0.9512761235237122,0.9371428489685059,0.9883460402488708
18,3,16,0.001,1132.5971183776855,0.2346457839012146,0.9451428651809692,0.9534703493118286,0.9367619156837463,0.993873119354248
19,3,32,0.001,953.9033422470093,0.155380517244339,0.9641904830932617,0.9710648059844971,0.9588571190834045,0.9963654279708862
20,3,64,0.001,896.034661769867,0.13170881569385529,0.9775238037109375,0.9808282256126404,0.9744762182235718,0.9954178929328918
21,5,16,0.001,1861.546867132187,0.2027900218963623,0.9588571190834045,0.9665770530700684,0.958476185798645,0.9931248426437378
22,5,32,0.001,1568.435806274414,0.16133266687393188,0.9676190614700317,0.9712753891944885,0.9660952091217041,0.994655191898346
23,5,64,0.001,1466.4108138084412,0.1371058225631714,0.9733333587646484,0.9766551852226257,0.9721904993057251,0.9963721632957458
24,7,16,0.001,2517.0829203128815,0.23099030554294586,0.9634285569190979,0.9666666388511658,0.9611428380012512,0.9914125800132751
25,7,32,0.001,2154.60355591774,0.16605494916439056,0.9699047803878784,0.9721054434776306,0.9691428542137146,0.9948477149009705
26,7,64,0.001,2023.45605134964,0.12888947129249573,0.980571448802948,0.9839449524879456,0.980571448802948,0.9963744878768921
